datapoint_id,text
1,하이 LG
2,하이 TV
3,하이 LG 폭군의 셰프 틀어줘
4,나는 솔로 이어서 보고 싶어
5,드라마 정년이 1화 틀어줘
6,오징어 게임 시즌 2 지금 바로 재생해 줘
7,새로 나온 지옥 시즌 2 찾아서 보여줘
8,고수 나오는 가석방 심사관 이한신 정주행 할래
9,어제 본 새벽 2시의 신데렐라 이어서 틀어줘
10,요즘 인기있는 돌풍 드라마 좀 보자
11,넷플릭스에서 하이라키 찾아서 틀어줘
12,정년이 나온 거 다 보여줘
13,오징어 게임 시즌 2 예고편 있어
14,가석방 심사관 이한신 제일 최신 화 재생해
15,로맨틱 코미디 새벽 2시의 신데렐라 1화부터 보기
16,김현주 나오는 지옥 시즌 2 틀어봐
17,설경구 김희애 주연 돌풍 재생
18,김태리 나오는 정년이 1화
19,하이라키 마지막 회 틀어줘
20,영화 베테랑 2 볼 수 있어
21,황정민 나오는 베테랑 2 틀어줘
22,이제훈 나오는 탈주 영화 찾아서 재생해
23,영화 하얼빈 보여줘
24,현빈 이동욱 나오는 하얼빈 지금 볼래
25,박보검 수지 나오는 원더랜드 틀어줘
26,영화 원더랜드 검색해 줘
27,VOD로 탈주 나왔어 있으면 틀어줘
28,김고은 나오는 대도시의 사랑법 재생해
29,영화 대도시의 사랑법 보고 싶어
30,베테랑 2 예고편 보여줘
31,최신 영화 하얼빈 검색
32,이제훈 구교환 탈주 지금 보기
33,원더랜드 같은 SF 영화 추천해 줘
34,볼만한 최신 영화 대도시의 사랑법 틀어줘
35,유튜브에서 피식대학 최신 영상 틀어줘
36,차린건 쥐뿔도 없지만 새 에피소드 나왔어
37,유튜브 오늘의 주우재 채널 보여줘
38,요리 유튜버 요리용디 레시피 영상 찾아줘
39,유튜브 숏박스 제일 인기 많은 거 틀어줘
40,오늘의 주우재 가을 코디 영상 볼래
41,유튜브 요리용디 초간단 파스타 영상
42,웃긴 거 보고 싶다 숏박스 틀어줘
43,요즘 제일 인기 많은 드라마 뭐야 1위 틀어줘
44,넷플릭스 탑 10 영화 보여줘
45,오늘 새로 업데이트된 콘텐츠 뭐 있어
46,TV야 볼만한 거 추천해 줘
47,최신 개봉 영화 예고편 모음 틀어줘
48,유튜브 인기 급상승 동영상 1위 재생
49,재밌는 예능 유튜브 채널 추천해 줘
50,이번 주 새로 시작한 드라마 뭐 있는지 알려줘
51,시원한 액션 영화 신작 나온 거 틀어줘
52,로맨스 드라마 인기 순위 보여주고 1위 틀어줘
